iter	Passed	Remaining
0	1	126
1	2	116
2	3	108
3	4	97
4	4	92
5	5	89
6	6	88
7	7	87
8	8	87
9	9	88
10	10	86
11	11	85
12	12	84
13	13	82
14	14	81
15	15	80
16	16	79
17	17	78
18	18	77
19	19	76
20	19	75
21	20	74
22	21	73
23	22	72
24	23	71
25	24	70
26	26	70
27	27	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	40	55
42	41	54
43	42	53
44	43	52
45	44	52
46	45	51
47	47	51
48	48	50
49	50	50
50	51	49
51	53	49
52	54	48
53	55	47
54	56	46
55	58	45
56	59	45
57	61	44
58	62	43
59	63	42
60	65	41
61	66	40
62	68	40
63	70	39
64	71	38
65	73	37
66	74	36
67	76	35
68	77	34
69	79	33
70	80	32
71	82	31
72	84	31
73	85	30
74	87	29
75	89	28
76	91	27
77	92	26
78	94	25
79	96	24
80	98	22
81	99	21
82	101	20
83	103	19
84	105	18
85	107	17
86	108	16
87	110	15
88	112	13
89	115	12
90	116	11
91	118	10
92	120	9
93	121	7
94	123	6
95	125	5
96	127	3
97	128	2
98	130	1
99	132	0
